	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC_Os03g53910.MSUR7	185.020050868803	2.17777239409264	0.357372217346183	6.09384918129506	1.10227516058309e-09	1.12701687641776e-07
LOC_Os03g54130.MSUR7	48.6209056103922	-1.8839981820141	0.540117919480375	-3.48812382271379	0.000486422757756247	0.0141082453739424
LOC_Os03g54860.MSUR7	187.279711593408	1.02841414065701	0.326386665608204	3.15090734096202	0.00162764117554689	0.0386823350951044
LOC_Os03g55070.MSUR7	300.871165617	-1.38838252697759	0.313013697011597	-4.43553282246993	9.1844835907308e-06	0.00043509960263822
LOC_Os03g55240.MSUR7	301.414396231037	-1.68194334126551	0.295427604384728	-5.69325044884821	1.24643343867961e-08	1.05442333514968e-06
LOC_Os03g56540.MSUR7	104.951815361986	3.63113645489848	0.420815704990863	8.62880451426433	6.19965482731655e-18	1.1747932587443e-15
LOC_Os03g56590.MSUR7	21.7340825060292	3.69420968919658	0.805267172146733	4.58755779072469	4.48461307947816e-06	0.000228442011059296
LOC_Os03g56660.MSUR7	68.7638155557651	1.64980926066349	0.504434421642868	3.27061197626108	0.00107315046754924	0.0278822933177511
LOC_Os03g56810.MSUR7	395.059273498627	1.56866645017389	0.278192348304819	5.63878359607174	1.71255592896669e-08	1.42332426096343e-06
LOC_Os03g57340.MSUR7	1002.30433481759	1.08642586091762	0.299112473023385	3.63216501784825	0.000281053292918971	0.00893585995294053
LOC_Os03g58170.MSUR7	192.630689013631	3.86310943504917	0.363887804658792	10.616210231809	2.50526626892619e-26	9.1294472343536e-24
LOC_Os03g59430.MSUR7	20.9701776969702	3.78995176047408	0.80423340466517	4.71250228912335	2.44693331289249e-06	0.00013426956078312
LOC_Os03g59480.MSUR7	87.0495008887867	2.08961883037179	0.432449542220283	4.83205235839368	1.35132702720155e-06	7.87425429086178e-05
LOC_Os03g59774.MSUR7	20.8636333216815	2.66289782322597	0.834677717990135	3.19033055014108	0.00142110150342019	0.0345242642164236
LOC_Os03g60780.MSUR7	247.859865660513	2.83277437413806	0.313379092931362	9.03944914652783	1.57463293722323e-19	3.60946504900267e-17
LOC_Os03g61670.MSUR7	989.441474926814	6.67268258068493	0.801634987996958	8.32384149968046	8.51574601801171e-17	1.51282228009978e-14
LOC_Os03g61740.MSUR7	19.2641415914765	-2.68354945304966	0.869282679066264	-3.08708492378127	0.00202129841272944	0.0456704181903193
LOC_Os03g61960.MSUR7	68.1804836847685	2.13054601945102	0.432624932082384	4.92469541502363	8.44918562108825e-07	5.18148185544157e-05
LOC_Os03g64210.MSUR7	177.037379111326	1.78450846501857	0.359254038257267	4.96726069851625	6.79052739058676e-07	4.28181203644229e-05
LOC_Os04g01740.MSUR7	3800.88055011047	8.23885878621208	0.84215727642841	9.78304055170442	1.33149251211769e-22	3.94232741296178e-20
LOC_Os04g02620.MSUR7	104.310338594529	1.51241681684586	0.365489913695493	4.13805350072101	3.50264707523591e-05	0.00139830393913631
LOC_Os04g05010.MSUR7	205.813651315463	3.26630926149035	0.351180736676926	9.30093516061858	1.39215772413391e-20	3.47111325884054e-18
LOC_Os04g10350.MSUR7	35.3807677451582	1.80022747241931	0.558937420807055	3.22080326956808	0.00127831864549828	0.0316506351739051
LOC_Os04g16728.MSUR7	24.9496154233756	-3.91090798950218	0.956376908122211	-4.08929571206504	4.32684951319901e-05	0.00168014167436023
LOC_Os04g16734.MSUR7	2394.01559724717	-1.27332559267623	0.298501705981366	-4.26572299977314	1.99255875857003e-05	0.000847851649005907
LOC_Os04g16740.MSUR7	8208.10520906679	-0.849421932599472	0.231890114595599	-3.66303640877838	0.000249243095871058	0.00803229677668816
LOC_Os04g16764.MSUR7	253.490340708999	2.12123675600559	0.296315942088537	7.15869939718525	8.14460581561136e-13	1.18113405970886e-10
LOC_Os04g16854.MSUR7	16.2083215986391	-3.26321884360129	0.99849356730821	-3.26814207967152	0.00108256005957024	0.0280483438162907
LOC_Os04g16872.MSUR7	1313.53597057756	-1.7104977102327	0.243778845011686	-7.01659616998638	2.27338445930436e-12	3.13682911996442e-10
LOC_Os04g16874.MSUR7	6513.19103452643	-2.23339132487995	0.231802311661283	-9.63489668793061	5.69492571178868e-22	1.61872568431882e-19
LOC_Os04g18090.MSUR7	283.320717518118	-1.00613193949871	0.308508687585249	-3.26127587321406	0.00110912074981485	0.0285206561380202
